runID,eventID,trackID,stepID,particle,bn_wt,zns_wt,thickness_um,capture_x_um,capture_y_um,capture_z_um,capture_depth_um,x_mid_um,y_mid_um,z_mid_um,depth_mid_um,step_len_um,edep_keV,ekin_pre_keV,ekin_post_keV
0,2700,4,1,Li7,50,50,100,-8507.58,1272.05,2.89694,47.1031,-8506.93,1271.94,3.16477,46.8352,1.42947,824.233,834.383,10.1507
0,2700,4,2,Li7,50,50,100,-8507.58,1272.05,2.89694,47.1031,-8506.25,1271.82,3.43859,46.5614,0.270197,10.1507,10.1507,0
0,2700,2,1,alpha,50,50,100,-8507.58,1272.05,2.89694,47.1031,-8509.51,1272.38,2.10407,47.8959,4.24992,1472.29,1472.29,0
0,2701,4,1,Li7,50,50,100,5443.3,-3742.4,-45.2712,95.2712,5442.96,-3741.94,-44.839,94.839,1.43267,843.711,843.711,0
0,2701,2,1,alpha,50,50,100,5443.3,-3742.4,-45.2712,95.2712,5444.28,-3743.77,-46.5545,96.5545,4.24966,1472.19,1472.19,0
0,2702,4,1,Li7,50,50,100,8868.31,5568.86,-20.2926,70.2926,8868.72,5569.41,-20.4893,70.4893,1.43314,782.168,845.072,62.9037
0,2702,4,2,Li7,50,50,100,8868.31,5568.86,-20.2926,70.2926,8869.27,5570.14,-20.7381,70.7381,0.672619,62.9037,62.9037,0
0,2702,2,1,alpha,50,50,100,8868.31,5568.86,-20.2926,70.2926,8867.1,5567.22,-19.7081,69.7081,4.24985,1472.26,1472.26,0
0,2703,4,1,Li7,50,50,100,-2586.62,1035.49,4.86453,45.1355,-2586.11,1035.82,4.49319,45.5068,1.43366,649.764,846.589,196.825
0,2703,4,2,Li7,50,50,100,-2586.62,1035.49,4.86453,45.1355,-2585.22,1036.26,3.82719,46.1728,1.06426,177.723,196.825,19.1023
0,2703,4,3,Li7,50,50,100,-2586.62,1035.49,4.86453,45.1355,-2584.83,1036.39,3.46759,46.5324,0.370659,19.1023,19.1023,0
0,2703,2,1,alpha,50,50,100,-2586.62,1035.49,4.86453,45.1355,-2588.14,1034.51,5.96406,44.0359,4.2505,1472.5,1472.5,0
0,2704,4,1,Li7,50,50,100,-3009.28,9286.05,-43.0595,93.0595,-3009.39,9286.55,-43.5571,93.5571,1.43274,843.899,843.899,0
0,2704,2,1,alpha,50,50,100,-3009.28,9286.05,-43.0595,93.0595,-3008.96,9284.57,-41.5789,91.5789,4.24986,1472.26,1472.26,0
0,2705,4,1,Li7,50,50,100,1283.42,-4632.35,-14.2199,64.2199,1283.74,-4632.14,-13.6184,63.6184,1.43357,819.243,846.332,27.0894
0,2705,4,2,Li7,50,50,100,1283.42,-4632.35,-14.2199,64.2199,1284.12,-4631.88,-12.9522,62.9522,0.441398,27.0894,27.0894,0
0,2705,2,1,alpha,50,50,100,1283.42,-4632.35,-14.2199,64.2199,1282.47,-4632.98,-16.0085,66.0085,4.25018,1472.38,1472.38,0
0,2706,3,1,Li7,50,50,100,3918.09,8893.92,41.0712,8.92877,3917.95,8894.41,40.5302,9.46977,1.48866,962.295,1013.7,51.4055
0,2706,3,2,Li7,50,50,100,3918.09,8893.92,41.0712,8.92877,3917.74,8895.01,39.837,10.163,0.608044,51.4055,51.4055,0
0,2706,2,1,alpha,50,50,100,3918.09,8893.92,41.0712,8.92877,3918.6,8892.26,42.9266,7.07343,5.10072,1776.42,1776.42,0
0,2707,4,1,Li7,50,50,100,-3530.11,1688.15,20.8311,29.1689,-3530.68,1688.29,21.2284,28.7716,1.43036,837.419,836.961,0
